,words,ner_tags,bio
10,"['there', 'are', 'about', '500', 'million', 'pet', 'cat', 'in', 'the', 'world']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O']"
11,"['cat', 'spend', '30', 'of', 'their', 'waking', 'hour', 'grooming']","[1, 0, 0, 0, 0, 0, 0, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12,"['ancient', 'egyptian', 'shaved', 'their', 'eyebrow', 'when', 'mourning', 'a', 'departed', 'cat']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN']"
13,"['the', 'cheetah', 'is', 'not', 'considered', 'a', '``', 'big', 'cat', ""''"", 'because', 'it', 'is', 'not', 'a', 'member', 'of', 'the', 'genus', 'panthera', 'and', 'it', 'lack', 'the', 'physical', 'ability', 'to', 'roar', '-cheetah', 'fact']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14,"['chimp', 'do', 'not', 'exhibit', 'the', 'huge', 'size', 'difference', 'between', 'gender', 'that', 'is', 'seen', 'in', 'gorilla', 'and', 'orangutan']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O']"
15,"['cougar', 'are', 'not', 'considered', '``', 'big', 'cat', ""''"", 'because', 'they', 'do', 'not', 'roar']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O']"
16,"['dingo', 'are', 'neither', 'dog', 'nor', 'wolf', 'they', 'are', 'their', 'own', 'distinct', 'specie']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
17,"['dog', 'have', 'been', 'domesticated', 'longer', 'than', 'any', 'other', 'animal']","[1, 0, 0, 0, 0, 0, 0, 0, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
18,"['there', 'are', 'over', '300', 'breed', 'of', 'dog', 'worldwide']","[0, 0, 0, 0, 0, 0, 1, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O']"
19,"['some', 'dog', 'can', 'recognize', 'over', '1000', 'word']","[0, 1, 0, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O']"
20,"['there', 'are', 'approximately', '600', 'million', 'dog', 'in', 'the', 'world']","[0, 0, 0, 0, 0, 1, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O']"
21,"['dog', 'range', 'in', 'size', 'from', '2', 'to', 'over', '200', 'pound']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
22,"['a', 'dog', 'sense', 'of', 'smell', 'is', '10,000', 'time', 'more', 'powerful', 'than', 'ours']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
23,"['yorkshire', 'terrier', 'were', 'bred', 'small', 'so', 'they', 'could', 'hunt', 'rat', 'and', 'mouse', 'in', 'factory', 'where', 'they', 'fit', 'under', 'the', 'machinery']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
24,"['the', 'asian', 'elephant', 'is', 'often', 'commonly', 'referred', 'to', 'a', 'the', 'indian', 'elephant']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","['O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN']"
25,"['wild', 'african', 'and', 'asian', 'elephant', 'reaching', 'adulthood', 'without', 'ever', 'growing', 'tusk', 'is', 'becoming', 'more', 'common', 'an', 'amazing', 'evolutionary', 'result', 'of', 'adult', 'with', 'large', 'well-formed', 'tusk', 'being', 'killed', 'off', 'for', 'their', 'ivory', 'before', 'they', 'can', 'reproduce.-', 'a', 'very', 'recent', 'elephant', 'fact', 'and', 'a', 'fascinating', 'example', 'of', 'micro-evolution']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
26,"['the', 'asian', 'elephant', 'ha', 'much', 'smaller', 'ear', 'than', 'the', 'african', 'elephant', 'and', 'ha', 'two', 'distinctive', 'bump', 'on', 'thetop', 'of', 'the', 'head']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
27,"['the', 'largest', 'bull', 'african', 'elephant', 'can', 'have', '10', 'foot', 'long', 'tusk', 'and', 'must', 'become', 'accustomed', 'to', 'walking', 'with', 'their', 'head', 'slightly', 'raised', 'lest', 'they', 'stop', 'short', 'jousting', 'the', 'ground', 'elephant', 'fact']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O']"
28,"['elk', 'are', 'ruminant', 'and', '``', 'chew', 'their', 'cud', ""''"", 'just', 'like', 'a', 'cow']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN']"
29,"['a', 'fox', 'bone', 'are', 'about', '30', 'lighter', 'than', 'the', 'same', 'size', 'bone', 'of', 'a', 'domestic', 'dog']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN']"
30,"['the', 'grey', 'fox', 'ha', 'partially', 'retractable', 'claw', 'almost', 'like', 'a', 'cat']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN']"
31,"['giraffe', '``', 'chew', 'their', 'cud', ""''"", 'just', 'like', 'cow']","[0, 0, 0, 0, 0, 0, 0, 0, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN']"
32,"['a', 'group', 'of', 'gorilla', 'is', 'called', 'a', '``', 'troop', ""''""]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O']"
33,"['the', 'gorilla', 'is', 'the', 'largest', 'of', 'the', 'great', 'ape']","[0, 1, 0, 0, 0, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
34,"['adult', 'male', 'gorilla', 'are', 'called', '``', 'silverback', ""''"", 'for', 'the', 'silver', 'hair', 'that', 'grows', 'on', 'their', 'back']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
35,"['adult', 'male', 'gorilla', 'are', 'usually', 'two', 'time', 'the', 'size', 'of', 'adult', 'female']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
36,"['all', 'gorilla', 'specie', 'are', 'critically', 'endangered']","[0, 1, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O']"
37,"['the', 'mountain', 'gorilla', 'wa', 'not', 'known', 'to', 'exist', 'until', '1902']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
38,"['gorilla', 'are', 'almost', 'entirely', 'vegetarian', 'only', 'occasionally', 'eating', 'small', 'insect', '.-', 'gorilla', 'fact']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O']"
39,"['a', 'group', 'of', 'hippo', 'is', 'called', 'a', 'raft', 'pod', 'herd', 'dale', 'or', 'bloat']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
40,"['hippo', 'regularly', 'hold', 'their', 'breath', 'for', '5', 'minute', 'or', 'more']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
41,"['baby', 'hippo', 'are', 'usually', 'born', 'underwater', 'and', 'must', 'swim', 'to', 'the', 'surface', 'to', 'take', 'their', 'first', 'breath']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
42,"['the', 'hippo', 'tusk', 'never', 'stop', 'growing']","[0, 1, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O']"
43,"['hippo', 'generally', 'do', 'not', 'eat', 'in', 'the', 'water']","[1, 0, 0, 0, 0, 0, 0, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
44,"['hippo', 'leave', 'the', 'water', 'at', 'night', 'to', 'eat', 'grass']","[1, 0, 0, 0, 0, 0, 0, 0, 0]","['B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
45,"['the', 'whale', 'is', 'the', 'closest', 'relative', 'of', 'the', 'hippo']","[0, 0, 0, 0, 0, 0, 0, 0, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN']"
46,"['the', 'horse', 'family', 'includes', 'zebra', 'and', 'donkey']","[0, 0, 0, 0, 1, 0, 0]","['O', 'O', 'O', 'O', 'B-AN', 'O', 'O']"
47,"['the', 'jaguar', 'is', 'the', 'only', 'big', 'cat', 'that', 'is', 'native', 'to', 'the', 'new', 'world', '..']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
48,"['the', 'jaguar', 'is', 'the', 'third', 'largest', 'cat', 'specie', 'in', 'the', 'world', 'behind', 'only', 'the', 'tiger', 'and', 'the', 'lion']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O']"
49,"['jaguar', 'are', 'the', 'least', 'likely', 'of', 'all', 'the', 'big', 'cat', 'to', 'attack', 'a', 'human', 'being']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O']"
50,"['nearly', '4,000', 'koala', 'are', 'killed', 'each', 'year', 'by', 'domestic', 'dog', 'and', 'automobile', 'but', 'the', 'real', 'culprit', 'is', 'deforestation', 'which', 'sends', 'them', 'to', 'the', 'ground', 'to', 'search', 'for', 'new', 'habitat', 'koala', 'bear', 'fact']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
51,"['lemur', 'are', 'primate', 'but', 'they', 'are', 'not', 'monkey']","[0, 0, 0, 0, 0, 0, 0, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN']"
52,"['the', 'lemur', 'ha', 'a', 'wet', 'nose', 'like', 'a', 'dog', 'and', 'a', 'great', 'sense', 'of', 'smell']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O']"
53,"['the', 'leopard', 'is', 'the', 'best', 'climber', 'of', 'the', 'big', 'cat', '..']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O']"
54,"['there', 'are', 'more', 'leopard', 'in', 'the', 'wild', 'than', 'lion', 'tiger', 'and', 'cheetah', 'combined']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O']"
55,"['the', '``', 'big', 'cat', ""''"", 'are', 'the', 'tiger', 'lion', 'leopard', 'and', 'jaguar', 'the', 'only', '4', 'member', 'of', 'the', 'genus', 'panthera']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
56,"['the', '``', 'big', 'cat', ""''"", 'are', 'the', 'only', 'cat', 'who', 'can', 'truly', 'roar']","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","['O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O']"
57,"['big', 'cat', 'roar', 'thanks', 'to', 'a', 'specially', 'designed', 'larynx', 'a', 'part', 'of', 'the', 'throat']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
58,"['the', 'elephant', 'is', 'the', 'closest', 'relative', 'of', 'the', 'manatee']","[0, 1, 0, 0, 0, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
59,"['a', 'group', 'of', 'monkey', 'is', 'called', 'a', '``', 'troop', ""''""]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O']"
60,"['some', 'old', 'world', 'monkey', 'have', 'cheek', 'pouch', 'that', 'allow', 'them', 'to', 'save', 'food', 'and', 'chew', 'it', 'later']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
61,"['many', 'monkey', 'specie', 'like', 'capuchin', 'use', 'tool', 'regularly']","[0, 1, 0, 0, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O']"
62,"['only', 'one', 'monkey', 'specie', 'exists', 'in', 'europe', 'the', 'barbary', 'macaque', 'of', 'gibraltar']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
63,"['howler', 'monkey', 'can', 'be', 'heard', 'for', '5', 'mile']","[0, 1, 0, 0, 0, 0, 0, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O']"
64,"['some', 'new', 'world', 'monkey', 'may', 'live', 'their', 'entire', 'life', 'in', 'rain', 'forest', 'treetop', 'and', 'never', 'touch', 'the', 'ground.-', 'monkey', 'fact']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O']"
65,"['okapi', '``', 'chew', 'their', 'cud', ""''"", 'just', 'like', 'cow']","[0, 0, 0, 0, 0, 0, 0, 0, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN']"
66,"['although', 'scientist', 'have', 'debated', 'for', 'year', 'about', 'this', 'one', 'giant', 'panda', 'fact', 'recent', 'dna', 'research', 'ha', 'proved', 'that', 'the', 'giant', 'panda', 'really', 'is', 'a', 'true', 'bear']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O']"
67,"['the', 'giant', 'panda', 'diet', 'is', 'over', '95', 'bamboo']","[0, 0, 1, 0, 0, 0, 0, 0]","['O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O']"
68,"['a', 'newborn', 'panda', 'weighs', 'only', '3', 'to', '5', 'onces', 'and', 'is', '1/1000th', 'the', 'size', 'of', 'it', 'mother']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
69,"['the', 'red', 'panda', 'or', '``', 'firefox', ""''"", 'is', 'more', 'closely', 'related', 'to', 'a', 'ferret', 'than', 'to', 'a', 'bear']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
70,"['porcupine', 'have', 'a', 'strong', 'musky', '``', 'wet', 'dog', ""''"", 'smell']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O']"
71,"['some', 'porcupine', 'have', 'prehensile', 'tail', 'like', 'new', 'world', 'monkey']","[0, 0, 0, 0, 0, 0, 0, 0, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN']"
72,"['the', '``', 'raccoon', 'dog', ""''"", 'look', 'remarkably', 'like', 'a', 'raccoon', 'but', 'is', 'not', 'related', 'to', 'the', 'raccoon', 'it', 'is', 'in', 'the', 'canine', 'family.-', 'raccoon', 'fact']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
73,"['a', 'male', 'seal', 'is', 'called', 'a', 'bull', 'a', 'female', 'is', 'called', 'a', 'cow', 'and', 'a', 'baby', 'is', 'called', 'a', 'pup']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
74,"['the', 'male', 'southern', 'elephant', 'seal', 'can', 'grow', 'to', 'the', 'size', 'of', 'a', 'small', 'truck', 'weighing', 'over', '7000', 'pound', 'and', 'measuring', 'over', '16', 'foot', 'long']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
75,"['a', 'male', 'sea', 'lion', 'is', 'called', 'a', 'bull', 'a', 'female', 'is', 'called', 'a', 'cow', 'and', 'a', 'baby', 'is', 'called', 'a', 'pup']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
76,"['serval', 'cat', 'are', 'bred', 'to', 'domestic', 'housecats', 'to', 'produce', 'savannah', 'cat']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN']"
77,"['serval', 'cat', 'have', 'the', 'biggest', 'ear', 'of', 'any', 'cat', 'specie']","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0]","['O', 'B-AN', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O']"
78,"['the', 'serval', 'tail', 'is', 'about', 'half', 'the', 'length', 'of', 'a', 'domestic', 'cat', 'tail']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O']"
79,"['serval', 'are', 'the', 'most', 'efficient', 'hunter', 'of', 'all', 'cat', 'specie']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN', 'O']"
80,"['the', 'ancestor', 'of', 'today', 'sloth', 'were', 'a', 'big', 'a', 'african', 'elephant']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AN']"
